Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
300	0	0	0	0	0	0	0	Unidentified
301	0	0	0	0	0	0	0	Entertainment
302	0	0	0	0	0	0	0	Entertainment
303	0	0	0	0	0	0	0	Entertainment
304	0	0	0	0	0	0	0	Entertainment
305	0	0,35	0	0	0	0	0	Entertainment
306	0	0	0	0	0	0	0	Unidentified
307	0	0	0	0	0	0	0	Unidentified
308	0	0	0	0	0	0	0	Entertainment
309	0	0	0	0	0	0	0	Entertainment
310	0	0	0	0	0	0	0	Entertainment
311	0	0	0	0	0	0	0	Entertainment
312	0	0,35	0	0	0	0	0	Entertainment
313	0	0	0	0	0	0	0	Unidentified
314	0	0	0	0	0	0	0	Unidentified
315	0	0	0	0	0	0	0	Unidentified
316	0	0	0	0	0	0	0	Entertainment
317	0	0	0	0	0	0	0	Entertainment
318	0	0	0	0	0	0	0	Entertainment
319	0	0,7	0	0	0	0	0	Entertainment
320	0	0	0	0	0	0	0	Unidentified
321	0	0	0	0	0	0	0	Unidentified
322	0	0	0	0	0	0	0	Unidentified
323	0	0	0	0	0	0	0	Entertainment
324	0	0	0	0	0	0	0	Unidentified
325	0	0,35	0	0	0	0	0	Unidentified
326	0	0,7	0	0	0	0	0	Unidentified
327	0	0	0	0	0	0	0	Unidentified
328	0	0	0	0	0	0	0	Unidentified
329	0	0	0	0	0	0	0	Unidentified
330	0	0	0	0	0	0	0	Unidentified
331	0	0	0	0	0	0	0	Unidentified
332	0	0,35	0	0	0	0	0	Unidentified
333	0	0,7	0	0	0	0	0	Unidentified
334	0	0	0	0	0	0	0	Unidentified
335	0	0	0	0	0	0	0	Unidentified
336	0	0	0	0	0	0	0	Technology
337	0	0	0	0	0	0	0	Technology
338	0	0	0	0	0	0	0	Technology
339	0	0,35	0	0	0	0	0	Technology
340	0	0,35	0	0	0	0	0	Unidentified
341	0	0	0	0	0	0	0	Unidentified
342	0	0	0	0	0	0	0	Unidentified
343	0	0	0	0	0	0	0	Technology
344	0	0	0	0	0	0	0	Technology
345	0	0	0	0	0	0	0	Technology
346	0	0	0	0	0	0	0	Technology
347	0	0,35	0	0	0	0	0	Unidentified
348	0	0	0	0	0	0	0	Unidentified
349	0	0	0	0	0	0	0	Unidentified
350	0	0	0	0	0	0	0	Unidentified
351	0	0	0	0	0	0	0	Unidentified
352	0	0	0	0	0	0	0	Unidentified
353	0	0	0	0	0	0	0	Unidentified
354	0	0,35	0	0	0	0	0	Unidentified
